num,polygon
1,"[[191.366124811365, 0], [154.818447120071, 84.3616394643606], [59.1353847143889, 136.500000000000], [-59.1353847143889, 136.500000000000], [-154.818447120071, 84.3616394643607], [-191.366124811365, 1.75766934161603e-14], [-154.818447120071, -84.3616394643606], [-59.1353847143889, -136.500000000000], [59.1353847143889, -136.500000000000], [154.818447120071, -84.3616394643607], [191.366124811365, -3.51533868323206e-14]]"
1,"[[290.203573889762, 0], [234.779623105163, 127.933035671228], [89.6778361602822, 207.000000000000], [-89.6778361602821, 207.000000000000], [-234.779623105163, 127.933035671228], [-290.203573889762, 2.66547658398915e-14], [-234.779623105163, -127.933035671228], [-89.6778361602822, -207.000000000000], [89.6778361602821, -207.000000000000], [234.779623105163, -127.933035671228], [290.203573889762, -5.33095316797829e-14]]"
1,"[[373.269089604585, 0], [301.981036964974, 164.551549504660], [115.346492162682, 266.250000000000], [-115.346492162682, 266.250000000000], [-301.981036964974, 164.551549504660], [-373.269089604585, 3.42842096853676e-14], [-301.981036964974, -164.551549504660], [-115.346492162682, -266.250000000000], [115.346492162682, -266.250000000000], [301.981036964974, -164.551549504660], [373.269089604585, -6.85684193707352e-14]]"
1,"[[439.511209731596, 0], [355.572037891153, 193.753655473092], [135.816433025355, 313.500000000000], [-135.816433025355, 313.500000000000], [-355.572037891153, 193.753655473092], [-439.511209731596, 4.03684497140385e-14], [-355.572037891153, -193.753655473092], [-135.816433025355, -313.500000000000], [135.816433025355, -313.500000000000], [355.572037891153, -193.753655473092], [439.511209731596, -8.07368994280770e-14]]"
1,"[[439.511209731596, 0], [355.572037891153, 193.753655473092], [135.816433025355, 313.500000000000], [-135.816433025355, 313.500000000000], [-355.572037891153, 193.753655473092], [-439.511209731596, 4.03684497140385e-14], [-355.572037891153, -193.753655473092], [-135.816433025355, -313.500000000000], [135.816433025355, -313.500000000000], [355.572037891153, -193.753655473092], [439.511209731596, -8.07368994280770e-14]]"
1,"[[448.974369749740, 0], [363.227895166321, 197.925384897154], [138.740710291451, 320.250000000000], [-138.740710291451, 320.250000000000], [-363.227895166321, 197.925384897154], [-448.974369749740, 4.12376268609915e-14], [-363.227895166321, -197.925384897154], [-138.740710291451, -320.250000000000], [138.740710291451, -320.250000000000], [363.227895166321, -197.925384897154], [448.974369749740, -8.24752537219830e-14]]"
1,"[[462.643378664837, 0], [374.286355674897, 203.951216287465], [142.964666342479, 330.000000000000], [-142.964666342479, 330.000000000000], [-374.286355674897, 203.951216287465], [-462.643378664837, 4.24931049621458e-14], [-374.286355674897, -203.951216287465], [-142.964666342479, -330.000000000000], [142.964666342479, -330.000000000000], [374.286355674897, -203.951216287465], [462.643378664837, -8.49862099242915e-14]]"
1,"[[443.717058628549, 0], [358.974641124561, 195.607757439342], [137.116111810286, 316.500000000000], [-137.116111810286, 316.500000000000], [-358.974641124561, 195.607757439342], [-443.717058628549, 4.07547506682398e-14], [-358.974641124561, -195.607757439342], [-137.116111810286, -316.500000000000], [137.116111810286, -316.500000000000], [358.974641124561, -195.607757439342], [443.717058628549, -8.15095013364796e-14]]"
1,"[[442.665596404310, 0], [358.123990316209, 195.144231947779], [136.791192114054, 315.750000000000], [-136.791192114054, 315.750000000000], [-358.123990316209, 195.144231947779], [-442.665596404310, 4.06581754296895e-14], [-358.123990316209, -195.144231947779], [-136.791192114054, -315.750000000000], [136.791192114053, -315.750000000000], [358.123990316209, -195.144231947779], [442.665596404310, -8.13163508593790e-14]]"
1,"[[452.128756422455, 0], [365.779847591377, 199.315961371841], [139.715469380150, 322.500000000000], [-139.715469380150, 322.500000000000], [-365.779847591377, 199.315961371841], [-452.128756422455, 4.15273525766425e-14], [-365.779847591377, -199.315961371841], [-139.715469380150, -322.500000000000], [139.715469380150, -322.500000000000], [365.779847591377, -199.315961371841], [452.128756422455, -8.30547051532850e-14]]"
1,"[[441.614134180072, 0], [357.273339507857, 194.680706456217], [136.466272417821, 315.000000000000], [-136.466272417821, 315.000000000000], [-357.273339507857, 194.680706456217], [-441.614134180072, 4.05616001911391e-14], [-357.273339507857, -194.680706456217], [-136.466272417821, -315.000000000000], [136.466272417821, -315.000000000000], [357.273339507857, -194.680706456217], [441.614134180072, -8.11232003822783e-14]]"
1,"[[430.048049713451, 0], [347.916180615984, 189.581926049030], [132.892155759259, 306.750000000000], [-132.892155759259, 306.750000000000], [-347.916180615984, 189.581926049030], [-430.048049713451, 3.94992725670855e-14], [-347.916180615984, -189.581926049030], [-132.892155759259, -306.750000000000], [132.892155759259, -306.750000000000], [347.916180615984, -189.581926049030], [430.048049713451, -7.89985451341710e-14]]"
